127.0.0.1, 2018-04-12 21:59:50, GET, /, HTTP/1.1, 303, 0.012000
127.0.0.1, 2018-04-12 21:59:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.529000
127.0.0.1, 2018-04-12 21:59:55, GET, /welcome/, HTTP/1.1, 200, 0.132000
127.0.0.1, 2018-04-12 22:00:03, GET, /start/, HTTP/1.1, 200, 0.300000
127.0.0.1, 2018-04-12 22:02:36, GET, /admin/site, HTTP/1.1, 303, 0.207000
127.0.0.1, 2018-04-12 22:02:36, GET, /admin/default/index, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-04-12 22:02:40, POST, /admin/default/index, HTTP/1.1, 303, 0.044000
127.0.0.1, 2018-04-12 22:02:40, GET, /admin/site, HTTP/1.1, 404, 0.018000
127.0.0.1, 2018-04-12 22:02:44, GET, /admin/default/index, HTTP/1.1, 303, 0.014000
127.0.0.1, 2018-04-12 22:02:44, GET, /admin/default/site, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-04-12 22:02:44, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 22:02:44, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-12 22:02:44, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 22:02:44, POST, /admin/default/check_version, HTTP/1.1, 200, 0.411000
127.0.0.1, 2018-04-12 22:04:58, GET, /start/, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-04-12 22:05:27, GET, /admin, HTTP/1.1, 303, 0.017000
127.0.0.1, 2018-04-12 22:05:27, GET, /admin/default/site, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-04-12 22:06:16, GET, /admin/default/pack/welcome, HTTP/1.1, 200, 0.232000
127.0.0.1, 2018-04-12 22:11:37, GET, /admin/default/pack/start, HTTP/1.1, 200, 0.356000
127.0.0.1, 2018-04-12 22:13:25, POST, /admin/default/site, HTTP/1.1, 303, 0.761000
127.0.0.1, 2018-04-12 22:13:25, GET, /admin/default/site, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/default/index, HTTP/1.1, 200, 0.139000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/css/myapp.css, HTTP/1.1, 200, 0.002000

127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/css/web2py.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/js/jquery.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/js/web2py.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/js/marked.min.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/css/calendar.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/js/vue.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-12 22:13:32, GET, /yabadabadu/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 22:39:04, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2018-04-12 22:39:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.352000
127.0.0.1, 2018-04-12 22:39:15, GET, /cats, HTTP/1.1, 404, 0.004000
127.0.0.1, 2018-04-12 22:39:35, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-04-12 22:39:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.070000
127.0.0.1, 2018-04-12 22:42:47, GET, /, HTTP/1.1, 303, 0.044000
127.0.0.1, 2018-04-12 22:42:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.264000
127.0.0.1, 2018-04-12 22:43:07, GET, /start/cats/onechi, HTTP/1.1, 200, 0.238000
127.0.0.1, 2018-04-12 22:43:07, GET, /start/static/images/chi1.jpg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-12 22:43:10, GET, /start/cats/twochi/Ciao, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-04-12 22:43:10, GET, /start/static/images/chi0.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 22:56:10, GET, /start/cats/onechi, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-04-12 22:56:12, GET, /start/cats/onechi, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-04-12 22:56:12, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 22:56:12, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-12 22:56:12, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-12 22:56:12, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-12 22:56:12, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-12 22:56:12, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 22:56:12, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-12 22:56:12, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001000
